report_date,report_month,user_id,current_cc_id,current_cc_name,current_cc_group,current_assigned_time,first_cc_id,first_cc_name,first_assigned_time,assign_count,is_reassigned,lead_source_raw,has_trial_booked,trial_count,first_trial_time,latest_trial_time,latest_trial_status,is_cancelled,is_absent,is_attended,outbound_call_count,connected_call_count,effective_connected_call_count,short_call_count_lt20s,total_connected_duration_sec,distinct_call_days,distinct_call_time_slots,first_call_time,last_call_time,last_call_duration_sec,post_class_call_within_6h,post_class_call_after_6h,is_ordered,order_id,order_time,processed_time,paid_amount,package_name,payment_method,closed_sales_name,closed_sales_group,lead_quality_category,lead_quality_reason,lead_quality_confidence,final_status,data_join_status,missing_data_flags
2026-04-29,2026-04,62506706,4123057,,,2026-04-21T17:48:00+08:00,4123057,,2026-04-21T17:48:00+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,342,1,1,2026/4/21 20:41,2026/4/21 20:41,342,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62511608,4123061,,,2026-04-22T20:26:12+08:00,4123061,,2026-04-22T20:26:12+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 22:24,2026/4/22 22:24,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62512025,4123060,,,2026-04-22T23:35:27+08:00,4123060,,2026-04-22T23:35:27+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/23 0:42,2026/4/23 0:42,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62516946,4121807,,,2026-04-21T17:10:09+08:00,4121807,,2026-04-21T17:10:09+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,265,1,1,2026/4/22 19:21,2026/4/22 19:21,265,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62516988,4121807,,,2026-04-21T17:10:01+08:00,4121807,,2026-04-21T17:10:01+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 19:14,2026/4/22 19:14,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62523069,4121807,,,2026-04-22T20:15:58+08:00,4121807,,2026-04-22T20:15:58+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 21:14,2026/4/22 21:14,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62524412,4121807,,,2026-04-21T17:47:12+08:00,4121807,,2026-04-21T17:47:12+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,156,1,1,2026/4/22 19:08,2026/4/22 19:08,156,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62529028,4121807,,,2026-04-21T18:19:24+08:00,4121807,,2026-04-21T18:19:24+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,0,1,3,1,1,2026/4/22 18:51,2026/4/22 18:51,3,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62538546,4123061,,,2026-04-20T22:56:37+08:00,4123061,,2026-04-20T22:56:37+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/21 0:53,2026/4/21 0:53,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62539498,4123060,,,2026-04-22T20:24:33+08:00,4123060,,2026-04-22T20:24:33+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 20:44,2026/4/22 20:44,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62636524,4121807,,,2026-04-15T17:14:53+08:00,4121807,,2026-04-15T17:14:53+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/15 20:45,2026/4/15 20:45,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62664674,4121807,,,2026-04-15T17:15:43+08:00,4121807,,2026-04-15T17:15:43+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/15 20:23,2026/4/15 20:23,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62714758,4121807,,,2026-04-15T17:16:18+08:00,4121807,,2026-04-15T17:16:18+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/15 20:01,2026/4/15 20:01,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62754321,4121807,,,2026-04-20T22:53:00+08:00,4121807,,2026-04-20T22:53:00+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,102,1,1,2026/4/21 1:17,2026/4/21 1:17,102,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62759029,4121807,,,2026-04-15T17:17:08+08:00,4121807,,2026-04-15T17:17:08+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/15 19:51,2026/4/15 19:51,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62765509,4122734,,,2026-04-15T20:11:05+08:00,4122734,,2026-04-15T20:11:05+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,70,1,1,2026/4/19 22:27,2026/4/19 22:27,70,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62772521,4123061,,,2026-04-15T22:30:27+08:00,4123061,,2026-04-15T22:30:27+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/16 0:17,2026/4/16 0:17,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
